Geometry,Lon,Lat,R_EOS10_SOS15,EOS10_SOS15_Tem_C,P_EOS10_SOS15,EOS10_SOS15_Tem_P,R_EOS10_SOS50,EOS10_SOS50_Tem_C,P_EOS10_SOS50,EOS10_SOS50_Tem_P,R_EOS50_SOS15,EOS50_SOS15_Tem_C,P_EOS50_SOS15,EOS50_SOS15_Tem_P,R_EOS50_SOS50,EOS50_SOS50_Tem_C,P_EOS50_SOS50,EOS50_SOS50_Tem_P,R_SOS15_EOS10,SOS15_EOS10_Tem_C,P_SOS15_EOS10,SOS15_EOS10_Tem_P,R_SOS15_EOS50,SOS15_EOS50_Tem_C,P_SOS15_EOS50,SOS15_EOS50_Tem_P,R_SOS50_EOS10,SOS50_EOS10_Tem_C,P_SOS50_EOS10,SOS50_EOS10_Tem_P,R_SOS50_EOS50,SOS50_EOS50_Tem_C,P_SOS50_EOS50,SOS50_EOS50_Tem_P,Clim_cover_type2
POINT(-103.625 53.875),-103.625,53.875,0.01733859,-2.531163114,0.899908803,0.031020923,0.605215793,1.117583705,0.008272812,0.101759737,-0.118224614,1.903122404,0.443323077,0.024044707,0.488522942,2.585757273,0.041381126,0.043996174,-0.487704211,-1.385633154,0.239175138,0.116613393,-0.405580351,-1.446889838,0.319877789,0.104778733,-0.259485657,-2.155700564,0.195314402,0.000266992,-0.246748079,-2.327394903,0.213250571,0.00068199,Boreal forest
POINT(-102.375 53.875),-102.375,53.875,0.471568992,0.515993796,0.035969055,0.750178588,0.662162165,-0.6191362,0.000970526,0.288264011,0.423702549,0.548812636,0.000110097,0.091220374,0.388419921,0.944272256,0.001012994,0.007708422,-0.232411465,-1.950270132,0.172849695,1.21E-05,-0.36806907,-1.980005453,0.15917782,1.08E-05,-0.121636751,-2.282121703,0.671941894,0.017800314,-0.598556916,-3.118183686,0.12945938,0.002763655,Boreal forest
POINT(-100.875 53.875),-100.875,53.875,0.21649838,0.805551491,0.458248267,0.207166847,0.494354001,1.127987876,0.020839638,0.050449734,0.238652603,1.827546112,0.213157298,0.006946926,0.405063297,2.296197571,0.003715654,0.000265349,0.272958988,-1.34887148,0.154535369,0.013752269,0.28271409,-1.481104701,0.230595649,0.006865131,0.012252128,-2.881127753,0.958528511,0.003402813,0.060100021,-2.896972967,0.839380797,0.003040781,Boreal shrubland
POINT(-107.625 53.875),-107.625,53.875,0.406521791,-1.24791899,0.050478378,0.358887393,0.260445064,-2.432422481,0.189044695,0.05119923,0.495416283,1.877636249,0.008391727,0.197213935,0.493428612,1.598198272,0.023529255,0.29295855,0.086766769,-1.764869004,0.811388072,0.010648426,-0.37221544,-2.421519618,0.170461132,0.002638673,0.05395368,-2.647194803,0.766068374,2.36E-06,0.086655752,-2.712495038,0.584409759,2.82E-06,Boreal forest
POINT(-102.625 53.875),-102.625,53.875,0.44882003,-0.075409804,0.167856593,0.968416829,0.696585794,0.450842635,0.00187687,0.714938686,0.428281353,0.562951664,9.63E-05,0.086861367,0.386127181,0.900226496,0.001232656,0.009944025,-0.242027738,-1.878339353,0.174451533,1.97E-05,-0.324797715,-1.888338455,0.239130155,2.40E-05,-0.258963249,-4.121823731,0.205337528,0.000271296,-0.592619874,-3.10626198,0.12925702,0.00247181,Boreal forest
POINT(-103.125 53.875),-103.125,53.875,0.434306293,-1.575069772,0.226360743,0.48804313,0.660631572,0.716215952,7.44E-05,0.558296408,0.332227842,0.975178898,0.066193975,0.025965163,0.417410968,1.444794682,1.13E-05,0.00135565,0.037073841,-1.542547612,0.784381869,0.000601315,0.112015417,-1.524584846,0.570377198,0.000627905,0.228355924,-3.779416501,0.32677288,0.001982291,0.082385183,-3.752172781,0.799080547,0.001375277,Boreal forest
POINT(-88.625 53.875),-88.625,53.875,0.093113777,-3.204750032,0.476011861,0.006899323,0.327934644,-2.628640159,0.056654566,0.005477296,0.287051902,1.026188362,0.023631538,0.0592434,0.487401366,1.015131226,0.008420462,0.046725924,0.105890965,-3.340890739,0.750064522,0.001431419,-0.586603757,-1.76598196,0.224288735,0.060235033,0.079742627,-2.708844888,0.691578774,0.000355421,-0.475071919,-1.699849635,0.093266376,0.008757815,Boreal forest
POINT(-88.375 53.875),-88.375,53.875,0.088076738,-3.238864442,0.499964937,0.006417084,0.320729463,-2.654516702,0.062029234,0.005212127,0.287154543,1.028945075,0.023623989,0.059436835,0.487117067,1.016236333,0.00848305,0.047261981,0.114080404,-3.309683145,0.732856958,0.001524201,-0.590247113,-1.726657657,0.223297516,0.064515365,0.085271316,-2.679122193,0.673138818,0.000377536,-0.469007816,-1.697850925,0.096578929,0.008467284,Boreal forest
POINT(-89.375 53.875),-89.375,53.875,0.229715371,-2.744280417,0.137476098,0.004792998,0.372582216,-1.931410064,0.04015567,0.033953862,-0.019045217,-1.878623733,0.898936015,0.069349139,0.040245781,-1.756390869,0.837713698,0.137478882,0.082909682,-1.291091921,0.798246109,0.098375765,0.20562423,-1.26430925,0.601098557,0.102734213,-0.236943967,-2.15876952,0.339587342,0.00613231,-0.12155257,-2.110836495,0.690972427,0.008334361,Boreal forest
POINT(16.875 53.875),16.875,53.875,-0.209893785,-9.384447719,0.56499617,0.011867597,-0.215040377,-9.75118444,0.710175467,0.011203879,-0.18031334,2.397664519,0.468597,0.147824435,-0.495010791,1.959916847,0.200508633,0.226836496,-0.011050729,-3.250721057,0.927688711,0.034618304,0.365901066,-3.573796353,0.058655114,0.011322345,-0.18167355,-1.810727236,0.031954248,0.11388278,0.148341076,-1.250298028,0.309947692,0.300339309,Temperate grassland
POINT(77.125 53.875),77.125,53.875,-0.101124448,4.417458619,0.786515482,0.125202023,0.39112621,4.094386435,0.179348398,0.131191752,-0.553823497,-4.578532879,0.130178409,0.213666163,0.1547816,-3.862189865,0.615290254,0.437818999,0.027580913,-1.78024181,0.85953782,0.12203589,0.163221114,-1.859222376,0.318072158,0.097297426,0.061791069,-2.556253393,0.765180612,0.366108408,-0.02065996,-2.375488521,0.925054017,0.398582941,Temperate grassland
POINT(72.625 53.875),72.625,53.875,0.361812153,9.157758617,0.221547967,0.192116522,0.274162136,6.132115335,0.315720631,0.260714415,0.066293216,-3.46278089,0.794400675,0.100904193,-0.031079508,-3.375050575,0.90058481,0.10596156,-0.143690912,-5.416635853,0.663155287,0.314192552,0.090805103,-5.125586781,0.721626143,0.340241755,0.105463145,5.437046561,0.764911065,0.277339654,0.00615008,4.927878506,0.98088343,0.295766802,Temperate grassland
